Time,X,Y,Vy,Yaw,YawRate,YawAcc,SideSlipAngle,Steer,T_FL,T_FR,T_RL,T_RR
0,2.51192248797939,-5.25000000813128,2.37771233695162e-09,0,0,-6.7803266669067e-08,0,-6.84906457069923e-10,-0.0109315665564204,-0.0109315665564204,-0.00762835934666336,-0.00762835934666336
0.01,2.68691318288689,-5.25000000812638,3.56012832639039e-09,-3.44792669002172e-12,-5.76002757302694e-10,-3.80552871343997e-08,6.23842525808828e-11,-6.9201728765747e-10,-0.00252638876341164,-0.00252635372795784,-0.00159523838897242,-0.00159519721814818
0.02,2.88132073722564,-5.2500000081016,6.24007919378052e-09,-1.13789429911203e-11,-9.80968776739813e-10,-4.09708262678356e-08,2.04815538976117e-10,-6.76913655120112e-10,-0.00251813879110134,-0.00251810368733702,-0.00159258531023401,-0.00159254418683983
0.03,3.07570164398868,-5.25000000804477,9.93496968121941e-09,-2.34564750700589e-11,-1.4050416895702e-09,-4.60647981733845e-08,4.02098107123625e-10,-6.79288343890389e-10,4.84208179539799,4.84208185948257,5.98306750691385,5.98306752461509
0.04,3.27005844216373,-5.25000000794908,1.41315798943932e-08,-4.01176411687488e-11,-1.88780566455371e-09,-5.05148616216399e-08,6.27202712810042e-10,-6.8654723247609e-10,11.7213858687505,11.7213859082343,15.9791426132335,15.9791426590678
0.05,3.46439537787279,-5.25000000781228,1.84616950354448e-08,-6.17835790883648e-11,-2.39743998095047e-09,-5.13993389033091e-08,8.60590949991955e-10,-6.88005281435436e-10,19.0201242356754,19.0201244691459,22.4587936810258,22.458793526441
0.06,3.65871619301565,-5.25000000763527,2.26697310767656e-08,-8.8505250258871e-11,-2.8938754503658e-09,-4.83520507167812e-08,1.0885966649994e-09,-6.79418427117565e-10,24.2009565420854,24.2009568748105,28.4431438492071,28.44314359797
0.07,3.85302390547945,-5.25000000742117,2.65765594583283e-08,-1.19953447585025e-10,-3.34166156177204e-09,-4.194495940162e-08,1.30156624870229e-09,-6.5284736926359e-10,27.8998652485921,27.899865662232,32.7191534110171,32.7191530834608
0.08,4.04732067638929,-5.25000000717449,3.00612882124708e-08,-1.55476075183219e-10,-3.71167105823826e-09,-3.2956590478155e-08,1.49291294202831e-09,-6.05516661334252e-10,30.351362772285,30.351363240812,35.561088217715,35.5610878406191
0.09,4.24160793742363,-5.25000000690062,3.30462274483108e-08,-1.94171308234686e-10,-3.98234048908014e-09,-2.21284550129042e-08,1.65833291130582e-09,-5.36670807186473e-10,31.9230345108171,31.9230350101835,37.3929197471831,37.3929193446027
0.1,4.43588660012242,-5.2500000066054,3.5487551937257e-08,-2.34958054774424e-10,-4.13826422609306e-09,-9.93976206505128e-09,1.79531650387806e-09,-4.438391789513e-10,32.964409934679,32.9644104466969,38.6172255790465,38.6172251692496
0.11,4.63015726052482,-5.25000000629476,3.73684095968009e-08,-2.76625805094569e-10,-4.16904622349133e-09,2.97373118147138e-09,1.90278779371525e-09,-3.31096045112084e-10,33.7402782127112,33.7402787247919,39.5388374930383,39.538837088422
0.12,4.82442035653696,-5.25000000597451,3.8690157949094e-08,-3.1789456797606e-10,-4.07024355346148e-09,1.61160709280949e-08,1.98065162428064e-09,-2.00332827583749e-10,34.4183141957792,34.4183146993056,40.350522693106,40.3505223022209
