Time,X,Y,Vy,Yaw,YawRate,YawAcc,SideSlipAngle,Steer,T_FL,T_FR,T_RL,T_RR
0,2.51192248797939,-5.25000000813128,2.37771233695162e-09,0,0,-6.7803266669067e-08,0,-6.84906457069923e-10,-0.0109315665564204,-0.0109315665564204,-0.00762835934666336,-0.00762835934666336
0.01,2.68691318288689,-5.25000000812639,3.55931718132093e-09,-3.44970548943419e-12,-5.7665497382422e-10,-3.81359259258299e-08,6.23432064688162e-11,-6.90932064600219e-10,-0.00252638969557853,-0.00252635279497478,-0.00159523948469589,-0.00159519612245122
0.02,2.88132073722564,-5.25000000810162,6.2368500458497e-09,-1.1390333182235e-11,-9.83983323006384e-10,-4.16180685822427e-08,2.04652600264206e-10,-6.8687903325218e-10,-0.00251813972499433,-0.00251810275262229,-0.00159258640484084,-0.00159254309225698
0.03,3.07570164398868,-5.25000000804485,9.92950559541311e-09,-2.35184161133601e-11,-1.40904202922351e-09,-4.53766306035208e-08,4.01822030229478e-10,-6.62184218265874e-10,4.84208179485983,4.84208186002027,5.98306750626754,5.98306752526184
0.04,3.27005844216373,-5.25000000794913,1.41511282388178e-08,-4.0137907977513e-11,-1.87087389908762e-09,-4.68251582437439e-08,6.28192129700686e-10,-6.21874387488758e-10,11.7213858678546,11.7213859091305,15.9791426141931,15.9791426581082
0.05,3.46439537787279,-5.2500000078118,1.8543404041106e-08,-6.13808894386312e-11,-2.32760049850251e-09,-4.44026018106074e-08,8.64719408945661e-10,-5.7297567623675e-10,19.0201242355334,19.0201244692924,22.4587936830173,22.458793524444
0.06,3.65871619301565,-5.25000000763335,2.28424086581887e-08,-8.69799081197889e-11,-2.74107400267627e-09,-3.86627564417648e-08,1.09730583437392e-09,-5.20890408497315e-10,24.200956541725,24.2009568751678,28.4431438533785,28.4431435938028
0.07,3.85302390547945,-5.25000000741651,2.68514945249031e-08,-1.16350593635728e-10,-3.0856755339261e-09,-3.09418847759445e-08,1.31540302158423e-09,-4.68741336544232e-10,27.8998652481637,27.8998656626467,32.7191534172639,32.7191530772335
0.08,4.04732067638929,-5.25000000716562,3.04275892708287e-08,-1.48720484579297e-10,-3.34780538811472e-09,-2.23331790101283e-08,1.51129795383785e-09,-4.17771500336658e-10,30.3513627722726,30.3513632408223,35.5610882254486,35.5610878328909
0.09,4.24160793742363,-5.25000000688609,3.34729800547574e-08,-1.8323303823585e-10,-3.52272818393547e-09,-1.35581054596133e-08,1.67967587008914e-09,-3.68131426817936e-10,31.9230345118481,31.9230350091426,37.3929197555796,37.3929193362135
0.1,4.43588660012242,-5.25000000658396,3.59283963153892e-08,-2.19017470749149e-10,-3.61129597555021e-09,-5.04711213839046e-09,1.81725377537435e-09,-3.19140868246248e-10,32.9644099373479,32.9644104440484,38.6172255871966,38.6172251610884
0.11,4.63015726052481,-5.25000000626557,3.77666389757349e-08,-2.55230080462898e-10,-3.6174355949355e-09,2.97622285295968e-09,1.92244486313484e-09,-2.69827933000594e-10,33.7402782174604,33.7402787200221,39.5388375001096,39.5388370813639
0.12,4.82442035653695,-5.25000000593726,3.89863647347749e-08,-2.91076117501743e-10,-3.54667145504949e-09,1.0400868986079e-08,1.99503329302812e-09,-2.19187080378186e-10,34.4183142028206,34.4183146922261,40.3505226984139,40.3505222969525
0.13,5.01867626876807,-5.25000000560513,3.9606483322515e-08,-3.25820488695887e-10,-3.40523929393348e-09,1.71802610067483e-08,2.03588181652236e-09,-1.66465794707721e-10,35.0846625965573,35.0846630663557,41.1510069184015,41.1510065411694
0.14,5.21292537304396,-5.25000000527489,3.96610947070282e-08,-3.58792612797135e-10,-3.19973917727399e-09,2.32877947956149e-08,2.04666796324275e-09,-1.11205558433677e-10,35.7692559198512,35.769256365189,41.9742587558942,41.9742584083518
0.15,5.40716805911613,-5.25000000495174,3.91952715865966e-08,-3.89388936967877e-10,-2.93694596360176e-09,2.87070810133105e-08,2.02966386890661e-09,-5.34221718511557e-11,36.470046784473,36.4700472011766,42.8174605412459,42.8174602274939
0.16,5.60140472983606,-5.25000000464026,3.82613702516167e-08,-4.17074941553367e-10,-2.62388318008034e-09,3.3411373191845e-08,1.98754343764815e-09,6.50938135858536e-12,37.171423494897,37.1714238796338,43.6622318472396,43.6622315705723
0.17,5.79563579179721,-5.25000000434442,3.69161573008562e-08,-4.41387622369175e-10,-2.26780732451527e-09,3.7374724077904e-08,1.92323130730552e-09,6.77717348386564e-11,37.855798789951,37.8557991398311,44.4879541270244,44.4879538896104
0.18,5.98986164447498,-5.2500000040675,3.52183267807353e-08,-4.61938429648325e-10,-1.87633386525529e-09,4.05599830439509e-08,1.83977200028417e-09,1.29287196400096e-10,38.5094061706328,38.5094064836276,45.2784293909634,45.2784291942461
0.19,6.18408267146482,-5.25000000381212,3.32266978022521e-08,-4.784167070489e-10,-1.45738588419004e-09,4.29362725245233e-08,1.74023396159662e-09,1.89663476330565e-10,39.1241196942774,39.1241199689025,46.0239665881874,46.023966432407
0.2,6.37829923502114,-5.25000000358027,3.09986391208805e-08,-4.90593060984439e-10,-1.01925914097657e-09,4.44694229608641e-08,1.62762548710687e-09,2.47449050833071e-10,39.6970036062989,39.6970038420409,46.7208687481052,46.7208686328146
0.21,6.57251167370944,-5.25000000337332,2.85890950304872e-08,-4.98322331866544e-10,-5.70453732023952e-10,4.51443875711074e-08,1.50484153101288e-09,3.01099402138724e-10,40.2288665349493,40.2288667316862,47.3697714876458,47.3697714115279
0.22,6.76672030236125,-5.25000000319207,2.60497082913526e-08,-5.01545308280159e-10,-1.19628122199153e-10,4.4954034193121e-08,1.37461580818029e-09,3.49270752944553e-10,40.7227072241696,40.722707382752,47.9738623195984,47.9738622808124
0.23,6.96092541342249,-5.25000000303683,2.34284721074793e-08,-5.0028882167204e-10,3.24704406615126e-10,4.39231881695559e-08,1.23950009269573e-09,3.9075677589484e-10,41.1824465006896,41.1824466222483,48.5374262934052,48.5374262894484
0.24,7.15512727893873,-5.25000000290742,2.0769331538633e-08,-4.94663454854707e-10,7.54303544782482e-10,4.20901347625932e-08,1.10184130244227e-09,4.24714692017977e-10,41.6120797904438,41.6120798768769,49.0648631643742,49.0648631925042
0.25,7.34932615266588,-5.25000000280328,1.8112187625908e-08,-4.848590636061e-10,1.16154814706113e-09,3.95276351479282e-08,9.63779344164909e-10,4.50554952721727e-10,42.0152054751096,42.015205528433,49.5601569255874,49.5601569826822
0.26,7.54352227200918,-5.25000000272349,1.54927457316235e-08,-4.71137730291615e-10,1.53955930508887e-09,3.63192934820276e-08,8.2723739266824e-10,4.68099891530807e-10,42.3948337845362,42.3948338073576,50.0266447666337,50.0266448495583
0.27,7.73771585967564,-5.25000000266685,1.29426778755625e-08,-4.53824817059278e-10,1.88250080944018e-09,3.25773198676851e-08,6.93928415166252e-10,4.77428353578765e-10,42.7534282646763,42.7534282596701,50.4670743902572,50.4670744955991
0.28,7.93190712504115,-5.2500000026319,1.04895731194603e-08,-4.33298056788428e-10,2.18563071418691e-09,2.84164732531392e-08,5.65351265459169e-10,4.78988590761273e-10,43.092963448033,43.0929634182847,50.8836637522666,50.8836638767678
0.29,8.12609626526913,-5.250000002617,8.15715751867487e-09,-4.09975598145066e-10,2.44550627030079e-09,2.3969957754245e-08,4.42800752761961e-10,4.73412656732536e-10,43.4150344768351,43.4150344253516,51.2782250551161,51.2782251953744
0.3,8.32028346624024,-5.25000000262037,5.96528093923054e-09,-3.84303097324483e-10,2.65993154984966e-09,1.93627788115246e-08,3.27366181288419e-10,4.61600864519809e-10,43.720982348757,43.7209822787992,51.6523130613356,51.6523132142452
0.31,8.51446890335798,-5.25000000264011,3.93015572175921e-09,-3.56740850807535e-10,2.82805104875257e-09,1.47275485249485e-08,2.19942934759737e-10,4.44530653389771e-10,44.0119470015575,44.0119469162687,52.0072777148945,52.0072778772212
0.32,8.70865274226237,-5.25000000267429,2.06436740724396e-09,-3.27751033360675e-10,2.95019662897142e-09,1.01785517139807e-08,1.2123275642765e-10,4.23316441362093e-10,44.2889229827577,44.2889228854016,52.3443266783971,52.3443268473039
0.33,8.90283513948159,-5.25000000272091,3.77121228225576e-10,-2.97786005863658e-10,3.02787664752274e-09,5.82815393682734e-09,3.17562131444521e-11,3.99043259156559e-10,44.5528012643467,44.5528011578959,52.6645723568533,52.6645725294932
0.34,9.09701624303982,-5.250000002778,-1.12588566887264e-09,-2.67278330972153e-10,3.06326483670478e-09,1.69339651442753e-09,-4.81534716265222e-11,3.72817056306513e-10,44.8043757673729,44.8043756548235,52.9690299498657,52.9690301238048
0.35,9.29119619302506,-5.25000000284363,-2.44196185990044e-09,-2.36635502034878e-10,3.05960852344384e-09,-1.99576723470677e-09,-1.18324944728066e-10,3.45615518192524e-10,45.0443605121262,45.0443603962012,53.2586410685443,53.2586412413084
0.36,9.48537512211641,-5.25000000291591,-3.57080386638755e-09,-2.06223263321134e-10,3.02130184014662e-09,-5.26950117034321e-09,-1.78716760918561e-10,3.1836422105351e-10,45.2733729706165,45.2733728539385,53.5342404782662,53.5342406478227
0.37,9.67955315622442,-5.25000000299317,-4.54306128957926e-09,-1.76467893326346e-10,2.93320348162656e-09,-1.00375532240148e-08,-2.30893383966518e-10,2.90165087920777e-10,45.4917320281395,45.4917317897978,53.797185359263,53.7971856551959
0.38,9.87373041556026,-5.25000000307394,-5.34390769873176e-09,-1.47620912870136e-10,2.84345407135302e-09,-9.90545205727007e-09,-2.74178441024271e-10,2.61437969146724e-10,45.6997733540682,45.6997731952384,54.0478941620975,54.0478943639373
0.39,10.0679070154831,-5.25000000315679,-6.0037909723854e-09,-1.19768088872567e-10,2.73535715628121e-09,-1.15732108293841e-08,-3.10092180039442e-10,2.35347097929731e-10,45.8976507912924,45.8976506700996,54.2849851777186,54.284985341371
0.4,10.2620830642988,-5.25000000324064,-6.54076724447649e-09,-9.30923626092817e-11,2.60959634466969e-09,-1.32922664432284e-08,-3.3953459757507e-10,2.12563666971907e-10,46.0857629661567,46.0857628622574,54.5095338925093,54.5095340371324
0.41,10.4562586640632,-5.25000000332446,-6.95143675396083e-09,-6.77562376540851e-11,2.46969062945052e-09,-1.44830441487102e-08,-3.62314630829297e-10,1.92956821744653e-10,46.2647905266084,46.2647904353548,54.7226051893359,54.7226053196827
0.42,10.6504339112816,-5.25000000340719,-7.22868052537622e-09,-4.38726785646178e-11,2.32086660431808e-09,-1.51379442339956e-08,-3.78055159562879e-10,1.76129746204401e-10,46.4353598682661,46.4353597880597,54.9251170874969,54.925117205204
0.43,10.8446088973924,-5.25000000348773,-7.37009804920631e-09,-2.15034200155009e-11,2.16793900272262e-09,-1.53642957949995e-08,-3.8662406432696e-10,1.61797692214624e-10,46.5979735252135,46.5979734547746,55.1178261864471,55.117826293082
0.44,11.0387837091553,-5.25000000356501,-7.37938783497111e-09,-6.68396480171913e-13,2.014567625364e-09,-1.52787361401473e-08,-3.88205148053603e-10,1.49720202164902e-10,46.7530311780044,46.7530311163815,55.301352726939,55.3013528234513
0.45,11.2329584289882,-5.250000003638,-7.26505193895528e-09,1.86426948728881e-11,1.86329323639885e-09,-1.49768574317348e-08,-3.83232129801589e-10,1.39740017734286e-10,46.9008608695532,46.9008608166327,55.47620501457,55.4762051012275
0.46,11.4271331352593,-5.25000000370579,-7.0385075605838e-09,3.64615730176211e-11,1.71600017904735e-09,-1.45069946679393e-08,-3.72292097116607e-10,1.31654237208248e-10,47.0417248089469,47.0417247652139,55.64278997956,55.6427900558434
0.47,11.6213079025308,-5.25000000376758,-6.71283452053662e-09,5.28364438556424e-11,1.57416970247915e-09,-1.39002425857283e-08,-3.56061109384231e-10,1.25280212636206e-10,47.1758293190219,47.1758292850702,55.8014280811175,55.8014281465882
0.48,11.815482801763,-5.25000000382268,-6.30190412707215e-09,6.78291870607642e-11,1.43909740357736e-09,-1.31721080211918e-08,-3.35259179109671e-10,1.20386790597102e-10,47.3033678805723,47.3033678567598,55.9524132362799,55.9524132905611
0.49,12.0096579004958,-5.25000000387055,-5.81999282820371e-09,8.15134898755659e-11,1.31185849279012e-09,-1.23458990616676e-08,-3.10629894233321e-10,1.16766647349428e-10,47.4245011643853,47.4245011506529,56.0959954662081,56.0959955094819
0.5,12.2038332630058,-5.25000000391077,-5.28141459079844e-09,9.39727193737577e-11,1.19333792180738e-09,-1.14414320955169e-08,-2.82921061554946e-10,1.14195380365376e-10,47.5393762939518,47.5393762900319,56.23240049851,56.2324005310102
0.51,12.3980089504489,-5.25000000394306,-4.70031886168609e-09,1.05297715293434e-10,1.08416077879324e-09,-1.04853216993767e-08,-2.52873808066616e-10,1.12491488346578e-10,47.6481293677425,47.6481293730011,56.3618374265727,56.3618374489851
0.52,12.5921850209887,-5.25000000396724,-4.09039230992142e-09,1.15584355686327e-10,9.84741030797015e-10,-9.4976513990215e-09,-2.21206868443351e-10,1.11472139244922e-10,47.7509119694354,47.7509119831322,56.4845231903427,56.4845232033739
0.53,12.7863615299223,-5.25000000398326,-3.4646830726017e-09,1.24931385832922e-10,8.95258265724092e-10,-8.50101850728102e-09,-1.88607137042972e-10,1.10996294403962e-10,47.847857821873,47.8478578431408,56.6006474151898,56.6006474197371
0.54,12.9805385297896,-5.25000000399119,-2.83536166494336e-09,1.33438369100404e-10,8.15724479402803e-10,-7.51083789850699e-09,-1.55717063241395e-10,1.10911043153458e-10,47.9391129207183,47.9391129486869,56.7103988523273,56.7103988492304
0.55,13.1747160704784,-5.25000000399119,-2.21361684563878e-09,1.4120399354689e-10,7.45967905819012e-10,-6.54467323204991e-09,-1.23128934979208e-10,1.11095555498097e-10,48.0248239752156,48.0248240089157,56.813962078795,56.8139620690036
0.56,13.368894199319,-5.2500000039835,-1.60949849107209e-09,1.48324498013259e-10,6.85692970795995e-10,-5.61372761291221e-09,-9.13765245382535e-11,1.11420627932346e-10,48.1051360712827,48.1051361097813,56.9115094299008,56.9115094143065
0.57,13.5630729611707,-5.25000000396845,-1.03187834946798e-09,1.54892415567997e-10,6.34464764655846e-10,-4.73141417457676e-09,-6.0932754880007e-11,1.11782834724683e-10,48.1802157935629,48.1802158358773,57.0032264895145,57.0032264690809
0.58,13.757252398509,-5.25000000394645,-4.88367702937924e-10,1.60995393758793e-10,5.9175758990688e-10,-3.90626370816798e-09,-3.22052321268013e-11,1.12056611602587e-10,48.2502220876243,48.2502221327779,57.0892854718331,57.0892854474958
0.59,13.9514325515002,-5.25000000391794,1.50473057368142e-11,1.66717762487407e-10,5.57490832159374e-10,-3.08229819224543e-09,-5.51773789874172e-12,1.12139585811688e-10,48.3153331673237,48.3153332143593,57.1698724011582,57.1698723738114
0.6,14.1456134580764,-5.25000000388342,4.728756059879e-10,1.72138419234715e-10,5.30446584505793e-10,-2.41013707192453e-09,1.88333879385525e-11,1.11906700919762e-10,48.3757179733601,48.3757180213133,57.2451526232709,57.2451525938338
0.61,14.3397951540042,-5.25000000384341,8.81046981244852e-10,1.77323828362753e-10,5.096794449656e-10,-1.81918822422428e-09,4.06256342759301e-11,1.11257785536528e-10,48.4315755536161,48.431575601666,57.3153237709583,57.3153237401472
0.62,14.5339776729545,-5.25000000379847,1.23686923024909e-09,1.82332215826309e-10,4.94354777054603e-10,-1.31469399358245e-09,5.97084647245409e-11,1.10077954780866e-10,48.4830843004394,48.4830843477208,57.3805539151977,57.3805538838641
0.63,14.7281610466648,-5.25000000374921,1.5305117424889e-09,1.87179682090604e-10,4.79259174557492e-10,-7.84192409236579e-10,7.55600889651757e-11,1.07707381425196e-10,48.5302879228998,48.5302879261729,57.441419783065,57.4414197964284
0.64,14.9223453052913,-5.25000000369623,1.77184429855221e-09,1.91946965603713e-10,4.75317451532748e-10,-2.39620575300513e-10,8.86636151665411e-11,1.04331509143823e-10,48.5731448816373,48.5731448573231,57.4982490634036,57.4982491013407
