Time,e_y,e_yaw,e_yawrate,e_beta
0,-7.57870211032241e-09,4.06005699178523e-10,0,0
0.01,-7.64068541769802e-09,4.10891355044121e-10,5.71439052227311e-10,-6.26215170932886e-11
0.02,-7.81401077176724e-09,4.14768192923471e-10,9.62614959973181e-10,-2.05906050727088e-10
0.03,-8.08351430237053e-09,4.16435065901666e-10,1.37298647020626e-09,-4.03900026507045e-10
0.04,-8.41209413238175e-09,4.17292691570998e-10,1.84260473461557e-09,-6.29534442407397e-10
0.05,-8.76203820610044e-09,4.18199059577552e-10,2.33866302803391e-09,-8.6337175029029e-10
0.06,-9.08265995747115e-09,4.20922236112929e-10,2.82073354983058e-09,-1.09179325568012e-09
0.07,-9.34206578762087e-09,4.26099025502623e-10,3.25388291747186e-09,-1.30512572834919e-09
0.08,-9.51258716241909e-09,4.33669000634818e-10,3.61036048698806e-09,-1.49670584534961e-09
0.09,-9.57701473680572e-09,4.44628032726023e-10,3.87036688341322e-09,-1.66213904579512e-09
0.1,-9.52544176868741e-09,4.57773920160792e-10,4.02039168695466e-09,-1.7988330478807e-09
0.11,-9.36479604973783e-09,4.73563161438253e-10,4.05185196475975e-09,-1.90564822222109e-09
0.12,-9.09970676588046e-09,4.90100737481421e-10,3.961676210807e-09,-1.98246692085471e-09
0.13,-8.75279138057294e-09,5.0764156824421e-10,3.75156279183414e-09,-2.02997193372416e-09
0.14,-8.33824476131895e-09,5.23786441232432e-10,3.42845682480918e-09,-2.04936524630443e-09
0.15,-7.8846795759091e-09,5.38883749949559e-10,3.00357079796404e-09,-2.04227369064964e-09
0.16,-7.40904848584023e-09,5.50464600510591e-10,2.49256785235756e-09,-2.01056085079521e-09
0.17,-6.93819668384776e-09,5.59098263211198e-10,1.91389885498418e-09,-1.95633731475785e-09
0.18,-6.4867586857531e-09,5.62449683085038e-10,1.28880034440401e-09,-1.88181653098253e-09
0.19,-6.07366690275057e-09,5.61590161871525e-10,6.39337791293387e-10,-1.78937121479901e-09
0.2,-5.70764768781373e-09,5.54619251815826e-10,-1.16509255937207e-11,-1.68140485282923e-09
0.21,-5.39610311989236e-09,5.4332080498353e-10,-6.42795931469294e-10,-1.56044505323883e-09
0.22,-5.13975795257693e-09,5.26294038694941e-10,-1.23408361796476e-09,-1.42900986923077e-09
0.23,-4.93669993772983e-09,5.05827578343681e-10,-1.76910555221484e-09,-1.28971847902914e-09
0.24,-4.7817509951642e-09,4.80946242396393e-10,-2.23427194907596e-09,-1.14512209535843e-09
0.25,-4.66716620906027e-09,4.54191910590347e-10,-2.62063861247063e-09,-9.97805907483405e-10
0.26,-4.58465354569171e-09,4.24805839933673e-10,-2.92251814286292e-09,-8.50201534781551e-10
