Time,e_y,e_yaw,e_yawrate,e_beta
0,-7.57870211032241e-09,4.06005699178523e-10,0,0
0.01,-7.64067475955699e-09,4.10903585660438e-10,5.76536872942704e-10,-6.23481099227827e-11
0.02,-7.81385001147328e-09,4.14902573662156e-10,9.82399538098544e-10,-2.04741743316406e-10
0.03,-8.08298405985397e-09,4.16844398313026e-10,1.40355911583863e-09,-4.02137095086555e-10
0.04,-8.41118463767998e-09,4.17964192783127e-10,1.8589277846689e-09,-6.2886233412835e-10
0.05,-8.76116068582178e-09,4.18808662457184e-10,2.30729340442399e-09,-8.65808550370671e-10
0.06,-9.08266173382799e-09,4.20821713820156e-10,2.71167051920553e-09,-1.09878982654106e-09
0.07,-9.34413524333877e-09,4.24391384090874e-10,3.04783021913464e-09,-1.31717041077412e-09
0.08,-9.51807965776652e-09,4.29346778669019e-10,3.30352840722917e-09,-1.51316806896267e-09
0.09,-9.58724744037909e-09,4.36734987443286e-10,3.47513632857845e-09,-1.68142806387706e-09
0.1,-9.54151158083505e-09,4.45560628014449e-10,3.5642160148898e-09,-1.8186609576157e-09
0.11,-9.38741440137392e-09,4.566287599841e-10,3.57488561171093e-09,-1.92330864759472e-09
0.12,-9.1290814907552e-09,4.6849448966149e-10,3.51230141402473e-09,-1.99521539426493e-09
0.13,-8.78855388464217e-09,4.81922520265307e-10,3.38177651367233e-09,-2.0353291683434e-09
0.14,-8.3794367000678e-09,4.95027912278333e-10,3.1885111205281e-09,-2.04542822037463e-09
0.15,-7.92979459873777e-09,5.08633542704284e-10,2.93750471143111e-09,-2.02789124352031e-09
0.16,-7.45610506669436e-09,5.20654951363978e-10,2.63378640412268e-09,-1.98549333839692e-09
0.17,-6.98485624894829e-09,5.31927108589192e-10,2.28254961121839e-09,-1.92124605565443e-09
0.18,-6.53046416942971e-09,5.40231071036343e-10,1.88945693785555e-09,-1.83825768341922e-09
0.19,-6.11179817866514e-09,5.46599314010858e-10,1.46073411518062e-09,-1.73963199021381e-09
0.2,-5.73767344747012e-09,5.48929304591767e-10,1.00339198405475e-09,-1.62837948859089e-09
0.21,-5.41572386936195e-09,5.48659331779953e-10,5.25153107252491e-10,-1.50736402735746e-09
0.22,-5.14703923926163e-09,5.43912903898583e-10,3.44979881302109e-11,-1.37925537419605e-09
0.23,-4.93016205638241e-09,5.3641378534833e-10,-4.59625565808789e-10,-1.24651360099214e-09
0.24,-4.76044625941086e-09,5.2455985160137e-10,-9.47922408550634e-10,-1.11137110321723e-09
0.25,-4.63071003764526e-09,5.10252786849422e-10,-1.42116231593916e-09,-9.75838829352503e-10
0.26,-4.53322979154791e-09,4.92108723971165e-10,-1.87036589374202e-09,-8.4170355326431e-10
0.27,-4.45875514287764e-09,4.72152730974363e-10,-2.28722666498015e-09,-7.10543517832382e-10
